Country,Electricidad_per_capita,mean_energia,Population_Mean,Population_media,Emisiones_gas,Emisiones_per_capita,PIB_per_capita,Poblacion,PIB
Australia,4.64182488280211e-07,9.504759612527836,20476342.5,19862146.0,182187.2741906861,0.009172587604113176,14004.574132840395,7665.23454326923,107348345.40682292
Austria,8.483895258955858e-06,69.3439811354183,8173601.75,8170262.0,28140.83460954945,0.003444300147235113,13973.884215330392,6041.006826923077,84416329.94344352
Belgium,3.6751973609113513e-07,3.8911292634947987,10587538.25,10592602.142857144,51824.46308209339,0.004892514830932258,13088.373192457308,7288.066826923076,95388938.48233739
Bulgaria,9.793983894527733e-07,7.778135935188575,7941748.75,7928486.571428572,21622.0490864847,0.0027271344778968067,7290.89139032466,6966.562234782608,50792448.61773744
Belarus,2.033622580967213e-08,0.20395731640013812,10029261.0,9791764.857142856,47145.08405431922,0.004814768812583159,12929.812683687429,9325.413534246574,120575850.19573177
Canada,1.910467750814563e-06,61.152188504754925,32009013.75,30908823.14285714,237691.25386420268,0.007690077773767709,16133.697837394799,15671.715073619633,252842715.59152454
Switzerland,7.526215357307593e-06,56.44269966626731,7499479.75,7436415.571428572,19194.73778488835,0.0025811814308275604,18127.5287596821,4309.080504807693,78112980.77868691
Cyprus,1.0395142135435755e-06,1.053470471496058,1013425.75,961881.8571428572,3532.1542142249646,0.0036721289501361024,14602.707470349951,733.7765479452055,10715124.278247051
Germany,1.2630472280167763e-07,10.240792892658176,81080047.25,80825030.85714285,312367.26784540876,0.0038647342850696054,5621.68756079431,57360.069307692305,322460388.1133533
Denmark,3.65627624269393e-06,19.848025200146328,5428480.75,5417047.285714285,27347.102026850498,0.005048341021310568,13406.73988193189,3285.2914903846154,44045048.44791088
Spain,4.927999752454484e-07,21.26871150442045,43158913.5,41752800.28571428,101039.41253288527,0.0024199433772459063,3145.592038955704,24932.340802884617,78426972.74208432
Estonia,1.826641589657174e-06,2.563574109361708,1403435.75,1396670.857142857,9042.185919429106,0.006474099372221837,19337.241813037253,1360.1938767123288,26302397.906598885
Finland,5.952755445893461e-06,31.260130295034713,5251371.5,5156923.857142857,27119.721266121825,0.005258895034596698,11892.238884479379,3198.8823798076924,38041873.42402497
France,2.2296867714610875e-07,13.45240743738431,60333171.5,58890316.571428575,180049.54852329043,0.00305737104172138,4295.656081838901,44088.339567307696,189388344.00048396
United Kingdom,8.050197480844242e-08,4.911523856476288,61011222.0,61118536.14285714,174001.43232931715,0.002846950259453367,4787.288858989002,43026.504875,205980307.42932346
Greece,9.999616933344254e-07,10.794783471998707,10795197.0,10128032.714285715,44703.957312610604,0.004413883581710308,7292.862104882261,6222.141846153846,45377222.48101753
Croatia,1.2140490838188332e-05,54.7707257020658,4511409.5,4425280.571428572,10979.664146628966,0.0024811227151376987,12777.07383934756,4200.083232876712,53664773.59787136
Hungary,3.312273670484826e-07,3.3461511915523356,10102278.75,10164888.0,27850.240821012932,0.0027398472881366653,9850.29106084764,9180.674217391304,90432313.17612396
Ireland,2.19787167298704e-06,9.03581804168703,4111167.25,4031190.8571428573,22056.18632281965,0.0054713823047446005,18632.43420047007,4610.605990291262,85906812.7383951
Iceland,0.00033707933649129463,99.93340527056938,296468.5,291405.71428571426,1538.565340718928,0.005279804977367096,13865.015522769643,248.2659589041096,3442211.37398077
Italy,3.7054336189708746e-07,21.656250602048235,58444578.5,57449633.571428575,182413.16345494828,0.0031751841067558665,9393.85304359458,39384.2091875,369969473.34556246
Japan,7.918531753981706e-08,10.01390484285742,126461636.5,121425514.71428572,451633.1707959218,0.003719425623672379,12407.949344398043,68394.66909134615,848637589.5122895
Lithuania,2.4131199837365074e-06,8.137202264198413,3372067.0,3235846.285714286,10896.21940919325,0.0033673476571795813,16716.72367390246,3129.4721369863014,52314520.959177025
Luxembourg,3.324073950927325e-05,15.734279671722804,473343.25,481054.85714285716,3833.000463738609,0.007967907208138503,34040.59650582853,409.0487123287671,13924262.16761229
Latvia,2.7861801898976722e-05,63.9108360786706,2293851.5,2255861.4285714286,6065.848190234431,0.002688927659034339,16353.79188580383,2274.817,37201883.79628861
Malta,6.376087877983347e-07,0.26140972006110635,409984.5,416975.28571428574,1156.903644530679,0.002774513704208832,13193.10770977495,370.350301369863,4886071.416320216
Netherlands,3.3595798275906125e-07,5.417482555968648,16125476.5,15721633.42857143,81631.18511020264,0.005192283962164623,6202.41868234132,8167.233182692308,50656599.67536873
Norway,2.103894330949073e-05,98.9510682375335,4703233.75,4671239.142857143,20169.32524372538,0.004317767647277614,16703.89260888088,2747.8597211538463,45899953.68642321
New Zealand,1.793180555987267e-05,72.57711361285502,4047395.75,4008699.285714286,28890.243745439988,0.0072068872435494275,14813.86923946302,2075.165296296296,30741227.349604867
Poland,9.357164395161151e-08,3.595939211837975,38429796.25,37344530.71428572,163111.41691170188,0.0043677457928077675,2481.369058861798,30888.762472727274,76646419.46635689
Portugal,3.4579145293957114e-06,35.66995134808405,10315452.0,9958763.857142856,30622.772697015924,0.003074957207169035,3758.9621395900795,6613.0936923076915,24858368.814946577
Romania,1.3370362115202053e-06,28.411150421266875,21249350.0,20830190.85714286,58613.14204434513,0.0028138552568396733,4637.644760174382,17546.212130434782,81373098.74761905
Slovenia,1.321271763015661e-05,26.7838665610047,2027127.75,1990223.7142857143,7401.16444033705,0.0037187600505470346,18231.610460385862,1847.0835205479452,33675307.234428264
Sweden,5.530183291118232e-06,50.6710330065194,9162631.75,9218082.714285715,25393.442420865227,0.0027547423046564517,4522.193112282541,5907.298076923077,26713942.675661437
Ukraine,1.247087614525476e-07,5.959057143699868,47783789.0,46616649.571428575,200441.23458066306,0.004299777792342971,8419.243281043297,46522.00426027398,391680071.7889793
